Volatility,VAR,Maximum Drawdown,risky
37.51540703,27.33654375,28.19,0
26.78160795,3.877184324,41.35,0
31.40396867,38.41629902,40.22,1
32.16669784,24.11286311,24.95,0
16.82240451,10.94241706,22.91,0
22.02970084,11.16510663,25.02,0
20.5155356,38.41666612,40.98,1
23.56396889,11.40416349,29.98,0
31.6458112,69.85810919,38.15,1
23.75830435,17.07329992,23.99,0
19.33819856,7.4090709,30.39,0
28.42687141,34.26745718,27.27,1
22.65346312,32.48066218,40.94,1
19.7352808,8.0225092,22.85,0
19.87622679,5.556681527,22.29,0
28.55797228,19.36911375,36.27,0
29.15989309,25.94330337,25.94,0
18.68640043,10.63410383,35.97,0
31.11171485,66.95143559,47.11,1
20.69182207,95.25075813,72,1
21.60304626,10.94257428,35.86,0
20.54447016,16.13412011,32.79,0
15.41757085,9.681956095,37.46,0
30.42347821,24.85677254,55.44,0
34.96623656,38.50718516,61.27,1
30.27132173,12.51452314,26.66,0
30.96672252,26.28098021,25.01,0
20.38601888,49.41769651,32.92,1
20.80875581,41.51833284,35,1
34.5756059,13.16227995,49.12,0
27.14628105,31.91031162,34.56,1
55.48018169,53.8726112,23.97,1
20.70021963,12.00100848,42.82,0
28.38518996,6.193889058,44.74,0
26.91970102,24.03878917,31.76,0
22.8940519,11.02561915,26.53,0
20.25290716,28.25669733,41.47,0
32.7257704,19.76990568,23.33,0
34.99131249,42.21098239,37.68,1
19.6645789,33.11784547,29,1
24.69409112,21.14011348,29.77,0
18.78005786,27.82420286,30.38,0
25.88206514,395.701447,29.34,1
41.93841215,28.08438347,43.71,1
36.37602239,7.140038016,39.71,0
21.80460044,5.401810344,43.61,0
22.11649091,12.35873395,42.94,0
19.56850984,10.86112386,20.74,0
38.31415253,4.598348893,41.3,0
27.48583773,4.788797038,21.77,0
19.58716172,0,38.86,0
40.08281626,66.92186834,49.91,1
21.30213623,134.5792566,41.42,1
17.22804873,8.554610524,42.1,0
21.47599545,129.302226,42.43,1
24.69068667,1.823537811,24.22,0
18.3956695,5.903983374,27.19,0
22.54838296,18.79364916,25.97,0
25.71853812,46238.74982,26.65,1
62.13576327,2.456539298,25.18,1
21.73909514,4.383692857,37.05,0
21.4135479,5.337876311,50.95,0
33.39080956,14.18216103,40.37,0
18.08025275,7.966761885,21.8,0
22.13754785,3.43365545,36.98,0
17.96306823,6.861947862,27.6,0
42.70476156,25.23502171,20.42,0
23.49530307,20.25334091,39.43,0
22.58142116,24.50278961,51.84,0
24.51550948,2.757647493,28.15,0
24.27984096,31.98552206,38.56,1
17.28425047,12.31628557,41.46,0
28.17156384,5.434232619,32.14,0
28.80872934,7.397465105,26.25,0
20.42715896,7.317057455,52.2,0
24.28590788,92.92602609,36.59,1
20.49020012,17.96581231,19.64,0
25.5739453,4.727455479,34.31,0
21.08286192,20.02975317,32.08,0
25.69459041,19.9627904,31.12,0
18.9937361,325.5862361,25.99,1
24.25298034,24.82964797,24.13,0
16.97343059,10.41630552,22.81,0
16.64884967,3.511449581,98,0
25.22037403,0.011809869,41.96,0
24.43418583,36.27681719,43.94,1
33.40045268,15.6743423,24.84,0
24.00282327,110.9217284,43.49,1
23.97252918,1.686106762,43.78,0
35.69648107,6.327196135,26.63,0
15.28858757,5.162799076,29.66,0
67.83292482,0,47.58,1
24.66713609,12.44647001,37.04,0
27.81814278,43.87603149,24.9,0
17.77367249,7.347598115,44.2,0
27.01629447,61.63172045,73.91,1
15.46516929,0,34.42,0
18.03309999,7.431628395,35.63,0
28.46313553,4.247840773,35.11,0
20.7281275,3.971049431,30.81,0
22.32916081,6.053819005,27.97,0
29.32697779,39.88025581,23.7,0
24.6021212,21.38198451,38.65,0
20.47218092,21.0772141,45.06,0
35.35973557,22.24360317,21.97,0
22.98219047,15.04762278,36.27,0
26.341485,19.34572724,43.63,0
37.6264806,22.36319455,26.99,0
18.70674531,29.39072027,24.57,0
24.25852895,103.7293111,25.27,1
31.42648055,11.24598934,46.98,0
18.48642546,14.52225442,48.84,0
