,2019,2020,2021,2022,2023
A,8.068420474173582,22.540125335130938,27.336543751617537,16.674748705035174,0.0
AAL,4.923387479917369,9.373676643611688,3.8771843236824832,3.437217712761457,0.0
AAP,14.60100480972993,30.54111103647038,38.41629902179524,40.29345126203971,0.0
AAPL,14.20289080964399,35.873951706249265,24.112863113483566,20.34483544234367,0.0
ABBV,11.676428636663932,13.800357252006402,10.942417064222612,14.40430448699724,0.0
ABC,7.484565903895251,11.099835638450294,11.165106625426125,15.776865657287821,0.0
ABMD,98.54365463275501,92.61822811714806,38.41666611804767,67.63911813698216,0.0
ABT,8.33302324668654,17.711167568276274,11.404163487343189,15.660837547482616,0.0
ACN,27.16923558544013,44.91319835414467,69.85810918797222,48.83330046090346,0.0
ADI,12.911694486134962,21.84591126112942,17.073299922412595,16.340363939243314,0.0
ADM,3.3551463487544315,8.902813602075783,7.4090708996749095,12.905851683156529,0.0
ADP,16.566562546960423,27.636368599275485,34.26745717914609,29.499472635082792,0.0
ADSK,21.826258029568542,63.805701041811716,32.480662179946286,36.65457061558131,0.0
AEE,5.5774700077459185,7.787132007419443,8.022509199555806,8.519550101810653,0.0
AEP,9.128879652295518,12.141613404536585,5.556681526537052,9.677556889228018,0.0
AIZ,23.388276526815815,23.083049968516303,19.36911374858259,29.945844232198002,0.0
AJG,10.3244110891956,19.851724556978716,25.94330336800476,21.83115990861289,0.0
AKAM,14.016253160917667,12.778717015905443,10.634103831758905,19.6932103785732,0.0
ALB,12.526831927925874,38.50384641859883,66.95143558848483,56.467021699685965,0.0
ALGN,75.91945366742854,166.0076813342491,95.25075812976131,191.1707978572685,0.0
ALK,6.671524639600404,19.581365408032678,10.942574282614101,9.491112651229493,0.0
ALLE,19.1462693600225,19.722293424595833,16.134120107815146,16.061780632295715,0.0
ALTR,5.724019049096968,13.110538080954395,9.681956095423558,10.818751413199838,0.0
AMAT,12.137295610098283,17.534629268657493,24.856772536439713,32.90723715560803,0.0
AMD,9.813680028017494,28.151205234728224,38.507185157401594,34.479420407734835,0.0
AME,12.58290498020762,22.5285909675853,12.514523140649064,15.837391576456902,0.0
AMGN,31.171788414016593,24.8783826238863,26.2809802071058,28.4356372497613,0.0
AMP,22.960061135380858,43.73792780336363,49.41769651053555,44.75944730554869,0.0
AMT,32.2278161396601,24.918100559958248,41.51833283586111,37.666083659317,0.0
AMZN,8.332305980436015,44.88485131483056,13.162279946056763,37.159408492371746,0.0
ANET,15.408589096396463,11.150802730448234,31.910311616857904,20.92528270676219,0.0
