Date,Low,Open,Volume,High,Close,Adjusted Close
12/12/1980,0.128347993,0.128347993,469033600,0.128905997,0.128347993,0.099873826
15-12-1980,0.121652,0.122210003,175884800,0.122210003,0.121652,0.094663337
16-12-1980,0.112723,0.113280997,105728000,0.113280997,0.112723,0.087715253
17-12-1980,0.115512997,0.115512997,86441600,0.116071001,0.115512997,0.089886256
18-12-1980,0.118862003,0.118862003,73449600,0.119419999,0.118862003,0.092492282
19-12-1980,0.126115993,0.126115993,48630400,0.126673996,0.126115993,0.098136961
22-12-1980,0.132254004,0.132254004,37363200,0.132813007,0.132254004,0.10291329
23-12-1980,0.137834996,0.137834996,46950400,0.138393,0.137834996,0.107256152
24-12-1980,0.145089,0.145089,48003200,0.145647004,0.145089,0.112900846
26-12-1980,0.158482,0.158482,55574400,0.159040004,0.158482,0.123322472
29-12-1980,0.160714,0.160714,93161600,0.161272004,0.160714,0.125059381
30-12-1980,0.156808004,0.157365993,68880000,0.157365993,0.156808004,0.122019894
31-12-1980,0.152344003,0.152902007,35750400,0.152902007,0.152344003,0.11854624
2/1/1981,0.154018,0.154018,21660800,0.155134007,0.154018,0.119848952
5/1/1981,0.150670007,0.151227996,35728000,0.151227996,0.150670007,0.117243648
6/1/1981,0.143972993,0.144530997,45158400,0.144530997,0.143972993,0.112032384
7/1/1981,0.137834996,0.138393,55686400,0.138393,0.137834996,0.107256152
8/1/1981,0.135045007,0.135602996,39827200,0.135602996,0.135045007,0.105085097
9/1/1981,0.142298996,0.142298996,21504000,0.142857,0.142298996,0.110729747
12/1/1981,0.141183004,0.142298996,23699200,0.142298996,0.141183004,0.109861366
13-01-1981,0.136161,0.136719003,23049600,0.136719003,0.136161,0.105953462
14-01-1981,0.136719003,0.136719003,14291200,0.137277007,0.136719003,0.106387675
15-01-1981,0.139509007,0.139509007,14067200,0.140625,0.139509007,0.108558759
16-01-1981,0.138393,0.138951004,13395200,0.138951004,0.138393,0.107690327
19-01-1981,0.146762997,0.146762997,41574400,0.147321001,0.146762997,0.114203453
