Maximum Drawdown,Volatility
28.19,37.51540703
41.35,26.78160795
40.22,31.40396867
24.95,32.16669784
22.91,16.82240451
25.02,22.02970084
40.98,20.5155356
29.98,23.56396889
38.15,31.6458112
23.99,23.75830435
30.39,19.33819856
27.27,28.42687141
40.94,22.65346312
22.85,19.7352808
22.29,19.87622679
36.27,28.55797228
25.94,29.15989309
35.97,18.68640043
47.11,31.11171485
72,20.69182207
35.86,21.60304626
32.79,20.54447016
37.46,15.41757085
55.44,30.42347821
61.27,34.96623656
26.66,30.27132173
25.01,30.96672252
32.92,20.38601888
35,20.80875581
49.12,34.5756059
34.56,27.14628105
23.97,55.48018169
42.82,20.70021963
44.74,28.38518996
31.76,26.91970102
26.53,22.8940519
41.47,20.25290716
23.33,32.7257704
37.68,34.99131249
29,19.6645789
29.77,24.69409112
30.38,18.78005786
29.34,25.88206514
43.71,41.93841215
39.71,36.37602239
43.61,21.80460044
42.94,22.11649091
20.74,
41.3,19.56850984
21.77,38.31415253
38.86,27.48583773
49.91,19.58716172
41.42,40.08281626
42.1,21.30213623
42.43,17.22804873
24.22,21.47599545
27.19,24.69068667
25.97,18.3956695
26.65,22.54838296
25.18,25.71853812
37.05,62.13576327
50.95,21.73909514
40.37,21.4135479
21.8,33.39080956
36.98,18.08025275
27.6,22.13754785
20.42,17.96306823
39.43,
51.84,
28.15,42.70476156
38.56,23.49530307
41.46,22.58142116
32.14,24.51550948
26.25,24.27984096
52.2,17.28425047
36.59,28.17156384
19.64,28.80872934
34.31,20.42715896
32.08,24.28590788
31.12,20.49020012
25.99,25.5739453
24.13,21.08286192
22.81,25.69459041
98,18.9937361
41.96,24.25298034
43.94,16.97343059
24.84,16.64884967
43.49,25.22037403
43.78,24.43418583
26.63,33.40045268
29.66,24.00282327
47.58,23.97252918
37.04,35.69648107
24.9,15.28858757
44.2,67.83292482
73.91,24.66713609
34.42,27.81814278
35.63,17.77367249
35.11,27.01629447
30.81,15.46516929
27.97,18.03309999
23.7,28.46313553
38.65,20.7281275
45.06,22.32916081
21.97,29.32697779
36.27,24.6021212
43.63,20.47218092
26.99,35.35973557
24.57,22.98219047
25.27,26.341485
46.98,37.6264806
48.84,18.70674531
21.13,24.25852895
44.9,31.42648055
43.75,18.48642546
22.03,37.20844443
47.4,17.19731624
22.78,31.27775075
48.92,23.22416615
44.55,44.11799869
23.25,27.40974772
29.16,17.91849148
36.87,26.14984856
37.17,26.0127361
35.56,31.674199
23.71,19.53707576
41.86,27.29389604
46.57,41.90601762
31.57,24.35644707
54.8,31.10150732
32.9,23.05397354
29.62,21.72550198
50.2,23.95619711
48.39,21.9208776
42.83,31.34435542
24.68,17.95091949
44.68,31.37018694
53.02,30.32392102
20.18,24.18365547
38.26,22.74298339
34.47,19.99326157
37.33,27.34521634
28.51,25.74624829
28.28,18.22409718
43.49,21.05196549
59.16,26.54758098
46.21,19.58842591
0,19.60815159
36,15.74803514
56.4,41.00279244
17.76,
39.78,
27.85,17.33090725
35.49,30.73088244
28.87,88.37234524
53.04,19.78741524
43.6,19.04268515
36.68,20.41795604
37.78,20.40220755
41.25,23.03616752
10.8,26.47210957
27.33,22.25111828
41.4,33.35373405
46.14,23.55070413
